#Digilent WaveForms Network Analyzer - Bode,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321B3CBB6,,,
#Date Time: 2026-07-17 00:02:59.400,,,
#Start: 500 Hz,,,
#Stop: 100000 Hz,,,
#Steps: 100,,,
#Wavegen: Wavegen C1,,,
#Amplification: 1 X,,,
#Settle: 10 ms,,,
#MinPeriods: 16,,,
#Channel: Channel 1,,,
#Range: 5.49996 V,,,
#Offset: -5.00031 V,,,
#Relative: no,,,
#Channel: Channel 2,,,
#Range: 5.53101 V,,,
#Offset: -4.99998 V,,,
#Relative: yes,,,
,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.00,-20.060,7.682,132.345
527.49,-19.517,7.398,135.952
556.49,-18.663,6.936,135.725
587.08,-18.431,7.098,139.156
619.36,-17.733,6.888,137.331
653.41,-17.283,6.807,139.616
689.33,-16.868,6.745,142.501
727.23,-16.172,6.552,140.648
767.21,-15.953,6.652,145.916
809.38,-15.586,6.785,145.604
853.88,-15.141,6.840,145.763
900.82,-14.759,6.950,146.479
950.35,-14.267,6.919,146.759
1002.59,-14.076,7.322,146.552
1057.71,-13.609,7.354,145.871
1115.86,-13.518,7.944,144.972
1177.21,-13.166,8.144,144.597
1241.93,-12.753,8.328,142.981
1310.20,-12.328,8.577,140.354
1382.23,-11.907,9.014,134.939
1458.23,-11.469,9.292,131.975
1538.39,-10.414,9.087,125.558
1622.97,-9.742,9.424,119.165
1712.19,-8.272,9.019,111.643
1806.32,-6.666,8.523,105.163
1905.63,-4.898,7.943,99.390
2010.39,-2.633,6.905,94.461
2120.92,-0.687,6.246,90.141
2237.52,1.450,5.331,86.225
2360.53,2.919,4.374,84.186
2490.30,3.876,3.510,81.823
2627.21,3.965,2.527,80.652
2771.64,3.702,1.704,79.594
2924.02,3.295,0.897,78.475
3084.77,2.807,0.115,77.977
3254.36,2.307,-0.691,77.946
3433.27,1.880,-1.401,78.397
3622.02,1.526,-2.144,78.364
3821.15,1.247,-2.794,78.514
4031.22,1.000,-3.465,78.685
4252.84,0.774,-4.072,79.364
4486.65,0.601,-4.715,79.269
4733.31,0.470,-5.219,79.640
4993.53,0.320,-5.901,79.802
5268.05,0.216,-6.388,80.134
5557.67,0.105,-7.001,81.182
5863.21,0.027,-7.530,81.818
6185.55,-0.042,-8.049,81.370
6525.61,-0.107,-8.644,82.127
6884.36,-0.169,-9.134,82.518
7262.84,-0.221,-9.643,82.912
7662.12,-0.250,-10.110,82.992
8083.36,-0.303,-10.565,83.386
8527.75,-0.337,-11.008,83.917
8996.58,-0.352,-11.542,83.979
9491.18,-0.384,-11.926,84.449
10012.97,-0.419,-12.450,84.441
10563.44,-0.431,-12.863,84.436
11144.18,-0.458,-13.278,84.574
11756.85,-0.461,-13.677,84.641
12403.20,-0.477,-14.191,84.649
13085.08,-0.491,-14.640,84.431
13804.45,-0.492,-15.015,85.193
14563.37,-0.517,-15.372,85.077
15364.01,-0.538,-15.779,84.328
16208.67,-0.539,-16.197,84.557
17099.76,-0.544,-16.497,84.259
18039.84,-0.552,-16.817,84.639
19031.61,-0.556,-17.389,84.093
20077.90,-0.577,-17.492,82.834
21181.70,-0.585,-18.025,82.728
22346.20,-0.617,-18.176,82.926
23574.71,-0.602,-18.418,82.555
24870.76,-0.639,-18.469,79.880
26238.07,-0.618,-19.182,78.934
27680.54,-0.618,-19.361,78.381
29202.31,-0.626,-19.479,76.901
30807.75,-0.646,-19.937,75.893
32501.45,-0.644,-20.121,73.484
34288.26,-0.654,-20.273,72.105
36173.30,-0.670,-20.749,67.241
38161.98,-0.670,-20.441,76.518
40259.99,-0.682,-21.311,64.004
42473.34,-0.654,-21.558,60.378
44808.36,-0.643,-21.973,60.483
47271.77,-0.657,-22.359,56.938
49870.59,-0.681,-22.493,57.382
52612.30,-0.673,-23.467,52.246
55504.73,-0.638,-23.907,49.704
58556.18,-0.640,-24.266,49.778
61775.38,-0.645,-24.167,53.822
65171.57,-0.606,-15.933,-167.194
68754.47,-0.349,-11.321,-128.002
72534.34,-1.019,-8.669,63.343
76522.01,-0.982,-9.177,77.302
80728.91,-0.885,-13.498,100.238
85167.09,-0.559,-30.681,-172.867
89849.27,-0.545,-29.015,-18.949
94788.85,-0.518,-29.056,-5.859
100000.00,-0.586,-30.009,-21.040